年齡,工作,婚姻,學歷,連絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
57.0,未知,離婚,高職,手機,471.0,7,71.262,22.0,頻繁
60.0,退休,未知,博士,市話,20.0,6,70.012,-38.6,一次
43.0,企業家,已婚,高職,手機,629.0,1,63.433,45.3,偶爾
39.0,藍領,未知,高職,手機,101.0,7,88.384,39.4,頻繁
20.0,自僱人士,單身,博士,市話,480.0,8,60.955,46.9,頻繁
24.0,藍領,已婚,國中,市話,220.0,6,98.891,10.5,從未
22.0,自僱人士,未知,高中,市話,943.0,9,97.647,48.2,偶爾
63.0,家管,已婚,高中,手機,541.0,5,88.226,-42.6,頻繁
58.0,自僱人士,離婚,國中,手機,797.0,1,60.894,16.5,頻繁
31.0,藍領,離婚,高中,手機,666.0,10,93.911,1.3,偶爾
63.0,主管,未知,博士,手機,75.0,7,97.004,-3.2,從未
35.0,未知,已婚,高職,手機,168.0,1,97.254,-3.9,一次
39.0,退休,離婚,博士,手機,910.0,4,78.978,9.7,從未
25.0,技術員,已婚,博士,市話,71.0,6,60.834,-12.7,頻繁
33.0,無業,離婚,博士,手機,93.0,12,63.389,4.2,頻繁
32.0,未知,單身,大學,手機,766.0,10,92.005,-47.4,從未
21.0,未知,離婚,小學,手機,871.0,6,99.216,-15.2,偶爾
40.0,經理,已婚,博士,市話,194.0,8,74.311,-12.4,頻繁
42.0,退休,未知,大學,手機,557.0,1,77.146,0.3,偶爾
27.0,服務業,單身,專科,市話,889.0,10,92.248,41.9,偶爾
60.0,經理,未知,小學,市話,182.0,12,64.227,-2.5,一次
41.0,主管,未知,博士,市話,420.0,4,76.912,5.6,從未
62.0,經理,離婚,博士,市話,165.0,10,67.929,4.6,一次
42.0,技術員,已婚,博士,市話,818.0,1,91.702,2.4,從未
39.0,藍領,離婚,小學,市話,406.0,8,67.972,4.8,頻繁
47.0,經理,離婚,國中,手機,509.0,9,94.964,40.4,一次
28.0,技術員,已婚,高中,市話,832.0,11,87.086,39.1,從未
27.0,退休,離婚,博士,市話,681.0,9,92.535,-27.5,一次
46.0,學生,未知,小學,市話,720.0,8,86.773,13.7,偶爾
28.0,企業家,單身,博士,手機,425.0,11,65.420,20.2,偶爾
32.0,退休,離婚,博士,市話,973.0,9,65.724,-25.1,一次
69.0,無業,離婚,專科,市話,536.0,3,99.771,-44.1,從未
29.0,退休,未知,小學,手機,735.0,5,61.710,8.2,偶爾
27.0,經理,離婚,博士,手機,352.0,11,97.042,24.4,偶爾
38.0,無業,離婚,博士,市話,992.0,4,78.297,-34.0,一次
43.0,未知,單身,博士,市話,814.0,12,96.401,14.8,從未
52.0,藍領,離婚,專科,市話,854.0,9,61.790,-32.1,從未
41.0,退休,已婚,高中,手機,621.0,11,99.556,3.5,偶爾
50.0,技術員,未知,小學,市話,996.0,4,98.472,34.8,一次
67.0,服務業,已婚,專科,手機,514.0,6,86.003,27.5,一次
45.0,學生,未知,高職,市話,468.0,11,84.805,-49.0,偶爾
36.0,企業家,未知,小學,市話,851.0,2,66.048,-25.9,偶爾
66.0,企業家,離婚,博士,市話,699.0,6,92.176,14.4,偶爾
34.0,企業家,未知,小學,手機,742.0,12,96.909,6.2,一次
50.0,自僱人士,未知,國中,手機,134.0,4,71.606,-34.3,偶爾
40.0,自僱人士,單身,大學,手機,159.0,12,86.680,43.6,偶爾
38.0,技術員,已婚,專科,手機,402.0,9,82.161,42.4,從未
33.0,技術員,單身,大學,手機,644.0,1,70.395,-7.7,一次
60.0,無業,單身,博士,手機,970.0,3,79.527,5.0,一次
37.0,學生,單身,高中,市話,912.0,12,85.967,14.2,一次
31.0,藍領,單身,高中,市話,84.0,3,99.072,27.4,偶爾
25.0,家管,未知,國中,手機,710.0,10,85.150,41.0,從未
41.0,經理,未知,大學,市話,896.0,9,82.021,47.3,一次
65.0,服務業,離婚,高中,市話,524.0,8,71.148,28.0,頻繁
68.0,學生,未知,博士,手機,778.0,2,65.924,-25.0,從未
61.0,主管,單身,專科,市話,66.0,1,81.203,-41.6,頻繁
32.0,技術員,已婚,小學,市話,453.0,8,94.078,-44.2,一次
60.0,企業家,單身,專科,手機,596.0,6,75.825,38.9,偶爾
69.0,學生,離婚,高職,市話,281.0,4,86.063,-27.6,偶爾
42.0,家管,離婚,小學,手機,437.0,11,98.757,-18.9,從未
36.0,自僱人士,離婚,高職,市話,660.0,9,66.793,23.5,頻繁
22.0,企業家,未知,小學,市話,664.0,1,60.885,41.1,一次
56.0,企業家,單身,大學,市話,627.0,1,79.089,-24.4,從未
45.0,退休,單身,博士,手機,169.0,4,80.830,-29.3,頻繁
24.0,經理,單身,專科,市話,775.0,11,89.502,18.7,從未
36.0,自僱人士,離婚,博士,市話,463.0,7,73.807,40.2,從未
56.0,無業,離婚,高中,市話,809.0,7,74.892,34.3,從未
50.0,經理,未知,小學,市話,548.0,7,63.332,-49.0,從未
64.0,服務業,未知,博士,市話,558.0,3,84.186,-18.7,一次
60.0,企業家,單身,博士,手機,64.0,2,87.840,26.9,頻繁
36.0,經理,離婚,國中,市話,622.0,4,92.855,21.7,偶爾
64.0,自僱人士,離婚,高中,市話,798.0,12,92.202,33.6,從未
54.0,經理,單身,博士,市話,351.0,9,94.362,10.3,頻繁
41.0,企業家,離婚,大學,手機,821.0,6,64.094,0.1,一次
28.0,經理,未知,高中,市話,95.0,4,81.470,3.4,一次
67.0,藍領,離婚,國中,市話,945.0,2,64.433,-37.4,頻繁
65.0,無業,離婚,大學,手機,383.0,5,99.512,-39.6,偶爾
63.0,家管,離婚,高中,市話,108.0,7,62.492,-5.4,從未
48.0,無業,單身,大學,市話,530.0,4,72.974,-5.6,從未
44.0,無業,離婚,國中,市話,627.0,3,88.293,-43.8,從未
42.0,無業,單身,小學,市話,701.0,6,66.103,35.0,從未
69.0,無業,單身,高中,市話,142.0,1,71.575,-15.9,一次
44.0,主管,已婚,大學,市話,749.0,3,78.348,3.0,從未
67.0,未知,離婚,高中,市話,348.0,10,97.799,41.6,從未
61.0,學生,單身,國中,手機,67.0,10,77.547,22.5,頻繁
41.0,主管,已婚,小學,市話,168.0,10,72.556,-32.0,偶爾
69.0,未知,離婚,高職,市話,326.0,3,69.861,-45.3,一次
61.0,企業家,未知,高中,手機,166.0,4,97.448,-42.1,頻繁
33.0,服務業,單身,博士,市話,519.0,4,68.010,-25.5,一次
56.0,主管,單身,高中,市話,982.0,5,99.583,3.4,頻繁
20.0,學生,已婚,小學,市話,895.0,5,71.568,21.5,頻繁
41.0,家管,已婚,博士,手機,499.0,5,75.448,-49.9,偶爾
20.0,學生,未知,高中,市話,209.0,1,78.742,-36.8,從未
36.0,退休,離婚,博士,手機,796.0,2,66.043,6.3,偶爾
62.0,無業,單身,小學,手機,648.0,3,62.540,-44.1,偶爾
38.0,退休,單身,高中,市話,254.0,11,67.177,-11.6,一次
47.0,無業,單身,專科,手機,391.0,7,60.651,-9.6,頻繁
42.0,自僱人士,單身,高職,手機,622.0,2,95.827,32.9,一次
26.0,藍領,單身,國中,市話,135.0,12,93.297,44.1,一次
69.0,自僱人士,未知,專科,市話,145.0,5,75.311,25.7,頻繁
44.0,未知,未知,高職,手機,408.0,7,63.135,39.5,偶爾
55.0,未知,已婚,專科,手機,190.0,3,68.843,48.0,從未
47.0,服務業,單身,專科,市話,887.0,6,82.817,48.0,頻繁
44.0,藍領,離婚,博士,手機,866.0,8,79.049,48.3,偶爾
62.0,學生,離婚,國中,市話,369.0,11,96.723,-22.8,頻繁
55.0,技術員,未知,小學,市話,733.0,12,61.653,0.1,一次
44.0,學生,已婚,專科,手機,934.0,7,81.650,0.1,一次
21.0,技術員,未知,高職,手機,436.0,9,72.070,-14.7,偶爾
69.0,企業家,單身,小學,手機,266.0,7,75.860,13.6,頻繁
50.0,退休,離婚,國中,市話,709.0,10,96.966,-44.5,一次
26.0,自僱人士,單身,博士,手機,363.0,9,76.105,-46.1,頻繁
58.0,學生,單身,博士,手機,434.0,7,77.374,17.1,一次
60.0,學生,離婚,專科,手機,302.0,11,78.212,26.0,頻繁
55.0,藍領,已婚,專科,手機,60.0,4,69.817,-14.9,一次
37.0,技術員,離婚,小學,市話,215.0,11,69.110,-31.7,從未
59.0,未知,離婚,博士,手機,475.0,10,76.832,-39.1,一次
28.0,企業家,未知,大學,市話,355.0,4,98.173,33.5,從未
60.0,藍領,離婚,國中,手機,337.0,10,93.623,-38.9,偶爾
68.0,藍領,單身,博士,手機,401.0,3,85.292,21.4,頻繁
38.0,退休,已婚,博士,市話,20.0,4,84.300,22.0,偶爾
52.0,自僱人士,未知,高職,市話,313.0,6,84.757,-13.5,一次
26.0,企業家,未知,小學,手機,985.0,4,85.901,-4.8,一次
26.0,學生,已婚,專科,手機,456.0,2,70.953,9.6,從未
33.0,經理,單身,高中,市話,248.0,6,63.324,-34.4,頻繁
49.0,藍領,離婚,高職,市話,645.0,7,97.892,3.1,偶爾
38.0,無業,單身,小學,市話,86.0,7,71.280,42.7,偶爾
39.0,主管,已婚,國中,手機,481.0,5,74.070,-16.2,一次
37.0,企業家,未知,國中,市話,295.0,5,84.002,5.9,從未
48.0,未知,離婚,高中,手機,68.0,7,92.139,37.1,從未
40.0,技術員,單身,國中,市話,348.0,8,98.553,4.3,從未
42.0,學生,未知,專科,手機,277.0,4,75.076,17.9,一次
64.0,經理,未知,小學,市話,940.0,1,68.236,9.5,頻繁
56.0,自僱人士,離婚,大學,市話,73.0,9,63.158,13.0,頻繁
59.0,學生,單身,高職,市話,761.0,8,88.857,-19.7,頻繁
66.0,未知,單身,高職,手機,511.0,1,76.119,-19.3,一次
65.0,技術員,已婚,高職,手機,72.0,10,88.613,-22.2,偶爾
64.0,未知,未知,博士,市話,581.0,4,69.796,0.9,一次
47.0,未知,未知,專科,市話,769.0,4,73.677,-29.3,頻繁
61.0,學生,離婚,大學,市話,194.0,2,64.646,6.9,偶爾
37.0,無業,已婚,大學,手機,758.0,6,63.396,11.5,一次
66.0,經理,未知,國中,手機,133.0,8,93.428,31.0,從未
61.0,無業,單身,專科,手機,985.0,9,64.215,-30.0,頻繁
46.0,自僱人士,已婚,高中,手機,918.0,6,86.569,21.7,一次
37.0,家管,已婚,專科,手機,515.0,12,68.541,-46.7,一次
54.0,自僱人士,離婚,博士,市話,839.0,7,96.268,-31.8,頻繁
48.0,經理,已婚,高中,市話,595.0,3,97.766,-26.7,從未
31.0,未知,未知,高中,市話,676.0,6,94.965,-23.2,偶爾
29.0,主管,單身,專科,手機,275.0,12,87.414,-22.6,一次
47.0,主管,未知,國中,市話,978.0,12,71.600,-22.3,從未
44.0,主管,離婚,博士,手機,747.0,4,72.109,-1.0,頻繁
61.0,技術員,離婚,國中,手機,352.0,1,82.123,-2.4,偶爾
65.0,未知,已婚,高職,市話,737.0,9,79.856,19.4,偶爾
33.0,退休,單身,大學,市話,348.0,7,61.480,11.2,一次
32.0,藍領,離婚,小學,手機,201.0,6,85.499,31.5,從未
22.0,主管,離婚,博士,手機,237.0,5,95.968,26.5,從未
41.0,家管,已婚,小學,手機,225.0,12,94.453,40.5,頻繁
23.0,退休,未知,博士,手機,271.0,12,91.183,34.8,偶爾
37.0,藍領,未知,高職,手機,342.0,12,67.729,6.8,偶爾
45.0,藍領,未知,專科,手機,837.0,3,86.273,-32.5,一次
53.0,無業,已婚,高中,市話,189.0,6,91.370,-19.2,從未
50.0,學生,離婚,大學,手機,347.0,10,94.774,4.1,一次
46.0,企業家,未知,博士,手機,877.0,6,76.783,-4.3,從未
26.0,技術員,單身,專科,手機,605.0,11,81.747,5.9,頻繁
25.0,家管,離婚,小學,手機,374.0,3,67.798,-15.6,從未
40.0,退休,單身,高職,市話,405.0,8,62.412,-40.4,頻繁
48.0,主管,未知,國中,手機,445.0,6,66.023,-15.0,頻繁
68.0,學生,未知,專科,市話,63.0,5,85.997,-20.5,一次
57.0,經理,未知,博士,手機,900.0,12,64.094,-28.4,頻繁
20.0,技術員,已婚,專科,手機,612.0,1,67.586,-17.2,從未
64.0,主管,未知,專科,手機,236.0,9,78.382,26.1,從未
63.0,自僱人士,已婚,博士,手機,733.0,5,98.525,24.1,頻繁
22.0,家管,離婚,博士,手機,527.0,2,75.858,-4.7,從未
53.0,藍領,單身,國中,市話,545.0,2,91.220,5.5,從未
33.0,家管,未知,專科,手機,504.0,12,96.934,-6.4,頻繁
29.0,學生,未知,專科,市話,752.0,10,96.348,3.0,偶爾
59.0,企業家,未知,高中,市話,951.0,8,85.715,39.7,一次
24.0,退休,未知,大學,手機,760.0,6,89.683,6.9,偶爾
53.0,未知,單身,高職,手機,69.0,5,95.301,-3.1,一次
54.0,家管,未知,國中,手機,882.0,7,92.466,-43.1,一次
30.0,經理,已婚,高職,手機,52.0,3,78.277,13.0,從未
54.0,主管,已婚,大學,手機,170.0,10,74.964,-27.6,偶爾
59.0,退休,未知,小學,手機,742.0,5,66.705,-5.4,從未
42.0,家管,未知,大學,手機,623.0,3,79.347,-21.8,頻繁
64.0,藍領,單身,高中,手機,188.0,6,92.742,39.0,頻繁
23.0,藍領,單身,高中,市話,506.0,6,87.866,9.5,偶爾
68.0,主管,未知,高中,手機,672.0,11,87.067,-9.3,從未
36.0,退休,單身,小學,手機,35.0,1,88.743,21.8,從未
52.0,經理,已婚,小學,市話,393.0,9,99.797,-22.9,偶爾
43.0,企業家,已婚,專科,市話,855.0,11,88.828,34.3,頻繁
40.0,自僱人士,未知,高中,手機,515.0,12,65.433,30.3,頻繁
22.0,主管,離婚,高中,手機,224.0,6,73.574,14.1,頻繁
39.0,家管,已婚,高中,市話,232.0,10,83.002,-15.5,頻繁
32.0,自僱人士,離婚,國中,手機,451.0,6,86.038,47.6,一次
46.0,技術員,離婚,專科,市話,35.0,8,74.077,-26.0,頻繁
47.0,學生,單身,大學,手機,504.0,12,83.268,11.5,從未
64.0,服務業,單身,高職,市話,608.0,12,79.531,-11.3,頻繁
42.0,藍領,離婚,大學,市話,144.0,8,66.787,19.9,一次
34.0,學生,未知,高職,市話,777.0,10,71.002,-1.2,從未
40.0,家管,未知,小學,市話,509.0,11,60.882,-12.0,頻繁
22.0,自僱人士,已婚,國中,市話,695.0,8,91.116,-42.8,頻繁
51.0,家管,離婚,高中,手機,305.0,10,95.548,-13.0,頻繁
23.0,藍領,已婚,小學,市話,833.0,10,69.160,-33.4,從未
52.0,自僱人士,單身,小學,手機,557.0,9,98.475,5.3,偶爾
30.0,經理,未知,高中,手機,676.0,10,73.312,34.1,從未
55.0,服務業,未知,博士,市話,24.0,2,91.058,43.6,一次
57.0,技術員,已婚,高中,市話,961.0,5,89.559,2.1,從未
35.0,學生,離婚,小學,市話,459.0,7,66.616,28.0,從未
59.0,服務業,單身,高中,手機,599.0,9,89.619,-36.0,頻繁
40.0,自僱人士,離婚,專科,手機,519.0,11,94.722,-14.9,一次
52.0,企業家,單身,小學,手機,961.0,6,79.516,44.6,偶爾
41.0,退休,未知,小學,手機,178.0,10,64.590,-0.9,一次
66.0,家管,離婚,博士,手機,155.0,1,96.762,39.6,頻繁
20.0,服務業,單身,博士,市話,824.0,12,93.936,11.6,從未
35.0,家管,離婚,博士,市話,449.0,10,62.702,-29.0,頻繁
58.0,企業家,未知,高職,手機,443.0,8,79.767,-16.2,頻繁
51.0,自僱人士,單身,大學,市話,538.0,1,68.398,-12.9,從未
60.0,藍領,離婚,國中,手機,815.0,2,66.479,-42.5,頻繁
24.0,技術員,離婚,國中,手機,463.0,2,74.178,42.7,從未
58.0,企業家,離婚,國中,手機,309.0,10,77.765,23.3,一次
23.0,服務業,單身,專科,手機,593.0,7,66.742,-44.8,頻繁
33.0,藍領,未知,大學,市話,599.0,4,65.913,-48.9,頻繁
60.0,自僱人士,未知,大學,手機,352.0,1,81.516,-8.8,從未
26.0,服務業,已婚,小學,手機,546.0,5,69.452,14.0,偶爾
67.0,自僱人士,離婚,國中,手機,384.0,9,75.074,-19.1,一次
29.0,經理,已婚,小學,手機,106.0,4,72.940,39.1,頻繁
56.0,學生,已婚,高中,手機,93.0,1,62.169,43.6,頻繁
61.0,企業家,離婚,博士,市話,594.0,10,76.504,40.3,偶爾
61.0,主管,單身,小學,手機,713.0,7,68.842,-14.0,從未
38.0,未知,單身,國中,手機,705.0,3,74.008,37.2,頻繁
62.0,服務業,未知,小學,手機,577.0,9,97.630,-14.8,頻繁
34.0,技術員,已婚,國中,市話,54.0,7,64.131,48.1,從未
64.0,藍領,已婚,高職,手機,304.0,7,89.008,0.5,一次
59.0,服務業,單身,高中,市話,619.0,5,75.941,-24.2,從未
62.0,學生,未知,高職,市話,352.0,1,76.496,-29.5,從未
53.0,企業家,未知,專科,市話,966.0,1,67.773,38.6,一次
55.0,家管,單身,小學,市話,131.0,12,68.564,18.5,從未
23.0,主管,已婚,大學,市話,877.0,5,84.191,16.4,從未
28.0,企業家,已婚,高中,手機,156.0,3,91.437,24.6,一次
25.0,無業,單身,小學,市話,549.0,6,69.963,-0.5,一次
44.0,企業家,單身,國中,市話,397.0,3,91.574,-32.4,偶爾
34.0,服務業,未知,大學,市話,604.0,4,62.351,10.1,一次
49.0,學生,未知,博士,市話,252.0,4,69.139,20.2,頻繁
54.0,學生,離婚,高中,市話,823.0,12,84.214,-32.0,偶爾
22.0,經理,已婚,國中,手機,158.0,8,73.855,10.9,頻繁
67.0,藍領,已婚,博士,市話,701.0,4,71.821,49.1,頻繁
54.0,自僱人士,單身,國中,手機,210.0,2,67.652,-23.6,頻繁
37.0,未知,未知,專科,手機,672.0,3,94.726,38.0,偶爾
36.0,藍領,單身,高中,市話,348.0,6,65.370,9.9,一次
69.0,未知,未知,高職,市話,506.0,1,83.108,44.3,偶爾
23.0,家管,已婚,高中,手機,237.0,8,92.205,3.9,偶爾
25.0,經理,離婚,專科,手機,640.0,8,63.850,-19.0,頻繁
58.0,未知,離婚,博士,手機,271.0,9,86.647,45.1,從未
64.0,未知,離婚,高中,市話,84.0,8,73.997,22.0,一次
51.0,退休,離婚,大學,手機,389.0,12,98.340,9.2,從未
64.0,經理,未知,高職,市話,205.0,12,73.669,49.9,偶爾
25.0,自僱人士,未知,小學,市話,755.0,4,64.999,30.4,偶爾
50.0,無業,已婚,國中,市話,615.0,4,64.866,-5.5,一次
42.0,無業,已婚,高中,手機,187.0,10,70.384,-17.6,從未
55.0,經理,離婚,博士,手機,271.0,7,93.712,-24.9,頻繁
28.0,企業家,離婚,博士,市話,861.0,2,71.056,-40.6,頻繁
37.0,技術員,單身,專科,市話,424.0,6,87.739,2.8,偶爾
39.0,經理,離婚,小學,市話,406.0,3,83.590,11.9,偶爾
65.0,企業家,未知,小學,手機,44.0,12,63.751,41.0,頻繁
65.0,退休,離婚,大學,市話,210.0,1,72.101,-10.1,從未
55.0,藍領,單身,大學,市話,846.0,8,63.175,-29.3,一次
50.0,技術員,已婚,博士,市話,354.0,8,79.877,12.2,一次
25.0,自僱人士,離婚,博士,市話,237.0,3,68.770,-47.5,偶爾
30.0,家管,未知,小學,市話,563.0,10,95.908,8.0,從未
47.0,藍領,單身,大學,市話,570.0,10,87.893,36.2,頻繁
52.0,學生,未知,博士,手機,926.0,6,69.989,1.9,從未
29.0,退休,單身,高中,手機,553.0,1,82.629,-36.5,從未
21.0,藍領,未知,國中,手機,61.0,12,77.284,11.6,從未
32.0,無業,未知,國中,手機,773.0,4,76.090,45.3,頻繁
69.0,服務業,已婚,小學,市話,585.0,11,98.943,41.2,從未
56.0,未知,未知,高職,手機,757.0,12,67.592,39.6,頻繁
58.0,退休,離婚,博士,市話,232.0,8,99.229,19.2,一次
40.0,退休,單身,小學,市話,525.0,12,88.666,5.8,一次
52.0,未知,離婚,國中,手機,262.0,10,97.035,23.8,從未
25.0,技術員,已婚,博士,市話,28.0,5,98.828,-29.2,頻繁
38.0,學生,已婚,高職,市話,635.0,2,81.595,41.0,頻繁
67.0,未知,已婚,專科,手機,262.0,1,67.124,-5.0,一次
64.0,企業家,離婚,博士,市話,268.0,7,85.232,17.5,頻繁
63.0,未知,已婚,高中,市話,401.0,4,76.124,34.6,頻繁
41.0,家管,已婚,小學,市話,406.0,9,92.377,45.8,頻繁
49.0,學生,已婚,高職,手機,627.0,4,62.718,10.0,一次
39.0,服務業,未知,高職,市話,218.0,11,71.671,-33.0,頻繁
50.0,自僱人士,單身,專科,市話,188.0,1,89.494,30.6,偶爾
20.0,服務業,離婚,高職,市話,389.0,8,80.216,18.1,一次
45.0,藍領,單身,高中,市話,307.0,1,96.433,29.0,一次
56.0,未知,已婚,高中,市話,745.0,11,85.049,3.3,頻繁
56.0,主管,單身,小學,手機,395.0,8,61.013,-24.2,偶爾
36.0,技術員,未知,專科,市話,896.0,8,71.454,30.7,頻繁
31.0,無業,未知,國中,市話,820.0,12,61.684,25.2,從未
54.0,經理,未知,國中,市話,402.0,7,61.074,-47.0,從未
31.0,學生,已婚,高中,手機,338.0,2,92.129,-47.7,頻繁
38.0,技術員,離婚,國中,市話,850.0,5,61.015,46.9,偶爾
47.0,自僱人士,已婚,大學,手機,982.0,12,69.166,37.9,偶爾
63.0,主管,已婚,博士,手機,368.0,10,89.714,5.1,頻繁
39.0,自僱人士,離婚,小學,手機,290.0,6,83.861,46.9,一次
52.0,服務業,單身,國中,手機,602.0,12,73.665,31.6,一次
27.0,自僱人士,單身,博士,市話,981.0,11,92.062,-42.7,從未
66.0,未知,未知,高職,市話,718.0,5,83.869,-30.2,從未
31.0,未知,離婚,大學,市話,332.0,1,66.720,6.7,從未
28.0,家管,已婚,高中,市話,900.0,7,60.624,-31.4,從未
68.0,未知,未知,博士,市話,523.0,4,99.865,27.4,一次
29.0,藍領,單身,高中,手機,117.0,1,84.164,-37.4,頻繁
59.0,未知,已婚,高中,市話,331.0,9,77.830,-36.4,頻繁
64.0,家管,離婚,國中,手機,815.0,5,66.280,-23.0,從未
47.0,家管,單身,高職,市話,558.0,8,70.357,2.3,頻繁
21.0,家管,已婚,小學,市話,661.0,11,89.919,-45.0,頻繁
31.0,經理,單身,大學,手機,372.0,12,74.670,46.0,頻繁
63.0,藍領,未知,高職,手機,409.0,3,90.695,-26.6,從未
42.0,主管,未知,國中,手機,781.0,9,61.827,19.5,從未
22.0,經理,單身,大學,手機,643.0,1,62.971,-41.3,一次
45.0,服務業,離婚,專科,市話,645.0,4,77.996,8.0,偶爾
35.0,自僱人士,未知,小學,手機,789.0,6,85.844,47.4,從未
46.0,學生,單身,小學,市話,922.0,7,71.391,-32.3,偶爾
30.0,企業家,離婚,高職,市話,924.0,7,68.846,-44.2,一次
63.0,主管,未知,高職,手機,602.0,10,90.931,-49.2,一次
47.0,服務業,未知,大學,手機,198.0,10,76.986,7.6,從未
48.0,家管,未知,大學,手機,27.0,10,60.338,36.1,從未
35.0,學生,離婚,博士,市話,319.0,5,78.909,40.8,一次
58.0,自僱人士,單身,小學,市話,346.0,10,66.868,3.7,一次
53.0,技術員,離婚,高中,市話,110.0,1,95.307,4.7,從未
20.0,技術員,已婚,專科,手機,352.0,10,93.686,26.3,偶爾
26.0,經理,未知,小學,市話,335.0,11,77.444,15.8,偶爾
46.0,企業家,單身,博士,市話,798.0,10,95.753,-37.8,偶爾
31.0,技術員,離婚,高中,手機,218.0,3,83.944,-39.5,偶爾
44.0,退休,未知,小學,市話,418.0,2,98.689,-1.2,從未
22.0,技術員,已婚,專科,手機,169.0,3,79.247,-31.4,一次
61.0,企業家,單身,博士,手機,866.0,10,86.465,48.8,從未
53.0,服務業,單身,大學,市話,89.0,10,76.723,12.9,偶爾
60.0,無業,離婚,國中,手機,268.0,12,95.830,2.8,偶爾
22.0,服務業,未知,大學,手機,22.0,4,66.135,-32.5,偶爾
67.0,經理,未知,博士,市話,658.0,1,62.445,-22.6,從未
37.0,家管,未知,國中,手機,62.0,4,67.433,37.8,一次
52.0,退休,未知,小學,市話,787.0,7,95.858,7.8,一次
60.0,藍領,單身,博士,市話,251.0,3,94.910,26.3,偶爾
21.0,家管,未知,高職,市話,462.0,6,78.365,-49.5,頻繁
37.0,家管,單身,高職,市話,558.0,12,87.169,23.8,偶爾
63.0,服務業,單身,小學,手機,368.0,4,67.721,16.1,一次
45.0,未知,未知,高職,市話,470.0,1,74.628,30.7,從未
44.0,退休,已婚,博士,市話,492.0,12,67.566,14.2,偶爾
46.0,經理,單身,小學,市話,280.0,12,88.261,-43.1,頻繁
29.0,技術員,未知,高職,市話,614.0,6,64.799,-15.3,一次
27.0,服務業,未知,高職,手機,725.0,10,77.672,-35.4,從未
59.0,自僱人士,已婚,小學,手機,368.0,7,83.139,27.0,從未
41.0,無業,已婚,博士,市話,481.0,12,95.546,19.8,一次
28.0,家管,單身,高中,市話,781.0,7,70.609,26.2,從未
20.0,學生,已婚,國中,市話,902.0,10,96.934,46.1,頻繁
31.0,學生,單身,高職,手機,390.0,8,79.948,-25.8,一次
20.0,學生,已婚,大學,手機,273.0,9,89.172,19.4,從未
25.0,企業家,未知,大學,手機,54.0,9,70.212,-7.9,頻繁
56.0,經理,未知,高職,市話,502.0,8,90.540,-37.6,頻繁
52.0,服務業,單身,專科,市話,221.0,8,80.559,-28.5,偶爾
46.0,自僱人士,已婚,高職,市話,226.0,8,67.924,38.5,從未
45.0,技術員,離婚,專科,市話,186.0,2,69.831,-39.7,偶爾
58.0,自僱人士,單身,小學,手機,873.0,7,85.901,-7.1,一次
28.0,自僱人士,離婚,專科,市話,92.0,4,74.944,-38.9,一次
52.0,經理,單身,博士,手機,547.0,11,67.951,47.1,頻繁
22.0,經理,單身,高中,手機,795.0,4,74.722,-34.1,一次
45.0,家管,單身,博士,手機,348.0,7,86.466,21.5,從未
59.0,技術員,未知,小學,手機,808.0,9,82.000,-6.1,一次
46.0,藍領,離婚,博士,市話,665.0,11,99.076,21.0,偶爾
37.0,藍領,未知,高職,市話,654.0,2,74.155,15.6,偶爾
31.0,藍領,單身,專科,手機,283.0,1,97.409,-29.3,頻繁
28.0,無業,單身,高職,市話,105.0,5,90.335,32.4,從未
66.0,家管,已婚,國中,手機,702.0,11,89.300,-12.9,一次
46.0,自僱人士,未知,高職,手機,967.0,6,72.360,20.2,從未
55.0,主管,單身,國中,市話,873.0,5,80.577,34.4,頻繁
66.0,未知,未知,高職,手機,57.0,4,96.440,-16.1,頻繁
55.0,學生,未知,大學,手機,398.0,6,77.858,-42.3,偶爾
42.0,退休,已婚,國中,市話,794.0,4,65.628,-35.3,頻繁
26.0,學生,未知,高職,市話,138.0,4,64.403,44.8,頻繁
53.0,主管,已婚,大學,手機,901.0,5,90.275,-9.5,從未
50.0,家管,未知,專科,手機,444.0,7,68.148,20.9,一次
64.0,無業,已婚,博士,手機,123.0,4,78.258,13.5,一次
38.0,主管,未知,大學,市話,821.0,4,91.043,-10.3,頻繁
43.0,經理,離婚,高職,市話,842.0,7,81.462,-36.9,一次
22.0,退休,單身,高職,手機,479.0,7,64.105,25.2,頻繁
59.0,企業家,已婚,小學,手機,229.0,5,93.847,9.2,偶爾
26.0,主管,單身,大學,市話,749.0,12,60.900,-16.5,從未
68.0,企業家,單身,小學,市話,232.0,10,73.698,43.4,偶爾
66.0,無業,已婚,高職,手機,371.0,3,67.036,34.9,偶爾
36.0,退休,單身,國中,手機,195.0,3,73.469,-14.3,一次
62.0,技術員,單身,博士,手機,308.0,3,73.763,4.8,從未
28.0,經理,離婚,小學,手機,338.0,8,80.658,18.0,偶爾
43.0,主管,已婚,高職,市話,765.0,3,84.683,35.7,從未
30.0,退休,離婚,大學,市話,409.0,4,78.549,-40.7,從未
53.0,家管,離婚,國中,手機,202.0,12,86.143,39.3,偶爾
58.0,服務業,未知,大學,手機,613.0,10,73.579,-10.2,頻繁
49.0,服務業,單身,高中,手機,529.0,8,60.251,35.8,偶爾
